name,population
Shantipur,149983
Barakpur,148174
Ambala,146787
Ambala City,146787
Krishnanagar,145926
Saharsa,145764
Batala,145468
Bhimavaram,142967
Balurghat,141404
Kaithal,140604
Lakhimpur,140223
Vidisha,140045
Haldwani,139497
Habra,139297
Porbandar,138872
Chitradurga,138587
Thanesar,138279
Tiruvannamalai,138243
Anand,138009
Kanchrapara,136954
Mahbubnagar,136135
Dimapur,135860
Robertsonpet,135218
Chhindwara,134847
Mandya,134845
Bankura,133966
Hajipur,133606
Gonda City,133583
Bhuj,133459
Hindupur,133298
Shillong,132842
Palghat,132728
Godhra,131913
Kishangarh,131749
Raniganj,131261
Pilibhit,131008
Beawar,130777
Abohar,130603
Moga,130549
Dehri,129938
Deoria,129570
Hassan,128531
Khardah,128346
Yavatmal,128175
Halisahar,128172
Panvel,128046
Titagarh,127751
Cuddapah,127010
Bettiah,127008
Hathras,126882
Lalitpur,126475
Kolar,126441
Mandsaur,124988
Gondia,124897
Rajapalaiyam,124168
Darjiling,123797
Mohali,123484
Palanpur,123294
Dam Dam,122719
Hardoi,122635
Puruliya,122533
Dibrugarh,122155
Palwal,121965
Nalgonda,121826
Bhadreswar,121662
Vejalpur,121610
Chikmagalur,121484
Raigarh,121278
Guntakal Junction,120964
Gangapur,120115
Deoli,120000
Siwan,119181
Damoh,118776
Adilabad,118526
Srikakulam,118299
Uppal Kalan,118259
Jetpur,118068
Morbi,118022
Patan,117863
Khanna,117137
Botad,117053
Rishra,117014
Azamgarh,116644
Yelahanka,116447
Gudivada,116161
Baidyabati,115504
Basti,115115
Balasore,114321
Dharmavaram,114050
Maler Kotla,113840
Manesar,23448
Rewari,143021
sampla,103263
Mainpuri,1847194
Karad,85550
Rourkela,272721
Rudrapur,140857
Dausa,1634409
Pilani,40590
shahibabad,54773
Phagwara,117966
Baripada,116849
Rajpura,92301
Unknown,3124458
